lim gs
   0    -8.664
   0    -8.551
   0    -9.942
   0    -9.571
   0    -9.428
   0    -9.079
   0    -8.461
   0    -9.237
   0   -10.260
   0    -8.798
   0    -9.829
   0    -8.718
   0   -10.118
   0   -10.749
   0    -8.666
   0    -9.478
   0    -9.857
   0   -10.201
   0    -8.781
   0    -9.072
   0   -10.252
   0   -10.346
   0    -8.626
   0    -8.590
   0    -8.991
   0    -9.019
   0    -8.129
   0    -8.747
   0   -10.530
   0   -10.424
   0   -10.152
   0    -9.986
   0    -9.985
   0   -10.020
   0    -9.351
   0    -9.104
   0    -8.815
   0    -9.055
   0    -8.302
   0    -9.075
   0    -8.463
   0    -9.346
   0    -8.854
   0   -10.041
   0    -9.662
   0    -9.412
   0    -8.710
   0    -8.267
   0    -8.817
   0    -8.973
   0    -8.670
   0    -9.430
   0    -9.202
   0    -9.144
   0    -8.589
   0    -9.304
   0    -8.590
   0    -9.316
   0    -9.708
   0    -8.699
   0    -8.587
   0    -9.747
   0    -9.915
   0    -8.755
   0    -8.523
   0   -11.275
   0    -9.343
   0   -10.296
   0   -10.048
   0    -9.042
   0    -8.998
   0    -9.802
   0    -9.373
   0    -9.030
   0   -10.123
   0    -9.030
   0    -9.865
   0    -9.700
   0   -10.046
   0    -9.035
   0    -9.403
   0    -8.931
   0   -10.054
   0   -10.065
   0    -9.723
   0    -9.118
   0   -10.273
   0   -10.581
   0   -10.299
   0    -9.851
   0   -10.020
   0    -9.151
   0    -8.627
   0   -10.624
   0    -8.621
   0    -9.727
   0    -9.286
   0    -9.882
   0    -9.757
   0    -9.381
   0    -9.027
   0   -10.382
   0    -8.952
   0    -9.835
   0    -9.132
   0    -8.962
   0    -8.858
   0    -9.044
   0   -10.074
   0    -9.186
   0    -8.825
   0    -8.657
   0    -8.672
   0   -10.227
   0    -8.872
   0   -10.033
   0    -9.265
   0    -9.077
   0    -8.560
   0    -8.339
   0    -9.659
   0    -9.720
   0    -9.375
   0   -10.433
   0    -9.445
   0    -8.565
   0    -8.402
   0    -9.754
   0    -9.225
   0    -9.972
   0    -9.997
